bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	cluster	pct_counts_mt_below_15
33_88_32__s1	2203	4026	5381	20.442127	1	0
33_88_44__s1	721	932	1204	11.158798	0	1
33_88_56__s1	743	996	1349	15.060242	2	0
33_88_80__s1	990	1501	1969	15.722852	1	0
33_88_84__s1	878	1204	1589	13.122924	0	1
33_88_85__s1	2575	4925	6590	18.95571	1	0
33_89_15__s1	916	1296	1701	13.8117285	0	1
33_89_27__s1	1006	1454	1916	14.855571	5	1
33_89_67__s1	812	1302	1724	23.655914	0	0
33_89_77__s1	1074	1636	2166	18.337408	0	0
33_89_92__s1	795	1142	1497	16.549911	5	0
33_90_32__s1	1010	1395	1893	11.111112	5	1
33_92_30__s1	948	1367	1765	17.776152	0	0
33_93_09__s1	645	886	1143	16.478556	0	0
33_93_43__s1	1148	1792	2339	16.41541	0	0
33_93_91__s1	1021	1498	1954	14.619492	0	1
33_94_26__s1	916	1261	1705	14.285715	5	1
33_94_36__s1	608	833	1071	15.985577	0	0
33_94_70__s1	888	1307	1739	18.97475	0	0
33_94_75__s1	989	1377	1834	12.999274	7	1
33_94_91__s1	675	915	1178	15.409836	0	0
33_95_04__s1	588	803	1050	17.06102	2	0
33_95_19__s1	683	887	1142	12.626833	7	1
33_95_23__s1	829	1179	1577	13.486006	1	1
33_95_24__s1	821	1175	1513	18.297873	2	0
33_95_49__s1	953	1375	1843	15.356623	4	0
33_95_56__s1	1088	1639	2167	17.449665	1	0
33_95_71__s1	800	1220	1608	18.770493	4	0
33_95_72__s1	982	1395	1865	13.558106	0	1
33_96_22__s1	993	1561	2090	20.627802	4	0
33_96_23__s1	1022	1400	1884	12.651894	5	1
33_96_33__s1	1199	1781	2359	14.598539	4	1
33_96_38__s1	554	815	1117	20.368097	0	0
33_96_45__s1	727	970	1263	14.020618	5	1
34_01_14__s1	659	955	1270	18.219896	2	0
34_01_40__s1	722	1189	1587	20.521446	4	0
34_03_19__s1	691	974	1286	15.400412	0	0
34_03_27__s1	697	1048	1410	19.37023	0	0
34_03_37__s1	1185	2034	2734	22.369715	0	0
34_03_46__s1	1166	1880	2546	17.615753	6	0
34_03_88__s1	1556	2933	3955	19.87726	0	0
34_04_06__s1	614	899	1171	20.044542	3	0
34_04_07__s1	919	1385	1851	17.184116	0	0
34_04_08__s1	1332	2315	3099	22.255833	4	0
34_04_25__s1	684	995	1331	19.296482	0	0
34_04_42__s1	951	1619	2193	24.953674	2	0
34_04_43__s1	1567	2644	3562	19.213312	0	0
34_05_05__s1	1151	1592	2176	13.764928	4	1
34_05_16__s1	1441	2744	3674	23.113379	1	0
34_05_19__s1	1436	2513	3370	16.76623	2	0
34_05_38__s1	1782	3252	4366	19.249693	0	0
34_05_45__s1	861	1321	1808	20.590462	0	0
34_05_46__s1	1554	2748	3643	21.878412	1	0
34_05_51__s1	1171	1847	2516	19.436924	1	0
34_05_53__s1	708	969	1324	14.757482	7	1
34_05_61__s1	1706	2964	3945	19.298244	3	0
34_05_70__s1	1529	2527	3432	13.929561	5	1
34_05_86__s1	1349	2309	3133	19.237434	4	0
34_06_04__s1	786	1265	1710	23.813292	0	0
34_06_47__s1	848	1268	1733	17.113565	0	0
34_06_51__s1	885	1332	1809	15.315315	0	0
34_06_57__s1	956	1466	1997	16.371077	0	0
34_06_78__s1	742	1046	1383	19.636015	3	0
34_06_79__s1	886	1350	1781	18.962963	0	0
34_06_93__s1	2025	3631	4902	14.8168545	0	1
34_07_12__s1	734	1156	1562	21.539793	0	0
34_07_18__s1	2011	3744	5025	16.452991	0	0
34_07_29__s1	809	1244	1609	19.629927	0	0
34_07_38__s1	1294	2164	2912	22.931114	0	0
34_07_49__s1	1436	2178	2942	14.83012	3	1
34_07_55__s1	839	1268	1759	18.611986	4	0
34_07_66__s1	943	1480	1964	21.23056	3	0
34_07_72__s1	814	1274	1685	21.350079	0	0
34_07_93__s1	1627	2888	3829	18.975069	0	0
34_08_19__s1	1145	1992	2691	22.138554	1	0
34_08_21__s1	1106	1659	2203	15.379975	0	0
34_08_74__s1	708	1006	1323	17.19682	0	0
34_09_23__s1	1327	2026	2652	8.736426	0	1
34_09_43__s1	1631	2982	3974	19.490103	0	0
34_09_81__s1	1631	2757	3704	17.519041	0	0
34_10_18__s1	801	1156	1566	16.782007	4	0
34_10_41__s1	1463	2678	3606	24.71994	0	0
34_10_46__s1	672	1044	1414	23.467434	0	0
34_10_62__s1	666	804	1055	2.238806	1	1
34_10_66__s1	2355	4365	5889	17.758938	6	0
34_10_70__s1	750	1145	1528	20.0	4	0
34_10_78__s1	2227	4323	5834	17.811705	0	0
34_11_30__s1	2391	5050	6883	22.261833	0	0
34_11_52__s1	696	984	1322	16.378433	0	0
34_11_53__s1	986	1539	2082	21.442495	0	0
34_11_56__s1	1081	1673	2277	15.959353	4	0
