bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	leiden	pct_counts_mt_below_7
79_48_53	577	713	735	7.43338	0	0
79_48_74	314	379	389	7.651715	0	0
79_48_93	353	402	415	5.970149	0	1
79_50_19	312	371	378	7.277628	0	0
79_50_61	390	439	446	5.922551	1	1
79_51_90	621	746	763	6.0402684	0	1
79_52_10	375	432	439	7.175926	0	0
79_52_31	476	554	568	5.956679	0	1
79_52_42	358	425	431	4.9528303	0	1
79_52_83	1044	1336	1361	5.7677903	1	1
79_53_75	322	369	379	7.0460706	0	0
79_53_91	352	411	420	5.352798	2	1
79_54_38	496	580	595	8.620689	1	0
79_56_70	653	773	794	4.915912	1	1
79_56_82	519	583	595	3.4364262	1	1
79_57_04	453	540	553	5.93692	2	1
79_57_06	316	359	368	4.4568243	0	1
79_57_30	309	359	366	6.406685	2	1
79_57_80	332	385	392	4.4155846	0	1
79_57_87	887	1159	1178	7.5927525	1	0
79_57_94	359	413	424	5.3398056	0	1
79_58_23	307	353	357	5.09915	0	1
79_59_29	560	694	707	9.798271	2	0
79_59_44	322	385	394	7.329843	0	0
79_60_37	412	479	490	5.24109	2	1
79_60_55	317	374	387	7.526882	1	0
79_61_07	371	443	449	7.4829926	0	0
79_61_13	338	401	408	5.25	2	1
79_61_76	634	761	774	6.447368	1	1
79_61_83	302	332	340	3.9156628	0	1
79_62_44	460	552	568	7.065217	1	0
79_62_53	394	457	466	6.1269145	0	1
79_62_64	309	372	381	11.051213	0	0
79_62_92	938	1245	1278	7.1485944	0	0
79_63_14	427	495	510	6.8686867	0	1
79_63_20	389	475	479	6.526316	0	1
79_63_38	563	701	714	11.571429	1	0
79_63_71	577	683	702	5.7184753	1	1
79_63_91	1796	2565	2619	5.5360622	1	1
79_64_35	315	378	385	5.820106	0	1
79_65_04	442	526	539	7.2243347	0	0
79_65_05	563	694	705	5.4992766	1	1
79_65_06	308	377	385	8.753315	0	0
79_65_20	477	599	619	5.175292	0	1
79_65_25	410	453	466	5.0772624	1	1
79_65_68	728	880	907	4.318182	1	1
79_65_75	364	435	447	7.6036863	0	0
79_65_81	390	451	462	5.567929	0	1
79_65_89	920	1172	1203	6.65529	2	1
79_66_03	602	738	760	5.970149	2	1
79_67_37	518	599	609	7.345576	1	0
