bc_wells	mread_count
01_88_01	536
01_88_23	0
01_88_25	259
01_88_26	1104
01_88_36	1042
01_88_37	5170
01_88_53	1330
01_88_63	885
01_88_67	1967
01_88_72	747
01_89_21	1621
01_89_22	739
01_89_36	1445
01_89_48	2262
01_89_55	919
01_89_92	559
01_89_93	0
01_90_11	3277
01_90_29	1535
01_90_42	2141
01_90_58	1403
01_90_62	508
01_90_66	857
01_90_69	2794
01_90_85	1966
01_90_90	679
01_91_20	2010
01_91_34	786
01_91_44	1377
01_91_49	2752
01_91_54	237
01_91_89	314
01_92_02	672
01_92_11	1810
01_92_33	199
01_92_43	492
01_92_45	2205
01_92_46	580
01_92_61	425
01_92_77	1081
01_92_86	1274
01_93_54	711
01_93_90	2239
01_94_03	1026
01_94_05	0
01_94_10	812
01_94_12	881
01_94_15	508
01_94_18	1948
01_94_26	304
01_94_34	0
01_94_35	1104
01_94_56	729
01_94_59	515
01_94_62	65
01_94_64	55
01_94_65	5685
01_94_67	1118
01_94_71	99
01_94_73	5476
01_94_79	513
01_94_85	1313
01_94_90	4605
01_95_67	2567
01_95_91	0
01_95_93	560
01_96_59	7430
01_96_85	883
01_96_88	2206
02_01_17	1586
02_01_27	0
02_01_29	1230
02_01_50	939
02_01_77	2311
02_01_78	2091
02_01_85	2263
02_02_49	364
02_02_50	3167
02_02_71	3339
02_02_81	1138
02_03_07	136
02_03_16	478
02_03_29	0
02_03_40	884
02_03_60	0
02_03_61	125
02_03_78	0
02_03_92	60
02_03_94	1100
02_03_95	576
02_04_16	1611
02_04_22	0
02_04_26	0
02_04_34	0
02_04_59	1148
02_04_91	1493
02_05_26	3622
02_05_42	735
02_05_87	495
02_06_03	1584
02_06_23	3041
02_06_54	3921
02_06_56	830
02_06_65	0
02_07_20	807
02_07_50	1191
02_07_65	1530
02_07_67	547
02_07_78	1327
02_07_92	58
02_08_12	1868
02_08_13	0
02_08_20	1255
02_08_28	5658
02_08_58	1610
02_08_80	464
02_08_85	1340
02_08_94	1520
02_09_04	1192
02_09_18	222
02_09_21	150
02_09_24	0
02_09_42	926
02_09_69	597
02_09_75	0
02_09_87	706
02_09_96	737
02_10_46	1274
02_10_50	520
02_10_52	567
02_10_54	520
02_10_66	1738
02_10_78	2263
02_10_79	655
02_10_86	2140
02_10_94	1474
02_11_14	195
02_11_17	810
02_11_26	1065
02_11_33	1254
02_11_46	1504
02_11_59	1533
02_11_70	0
02_11_83	5500
02_12_15	1405
02_12_49	0
02_12_53	806
02_12_59	991
02_12_88	2130
02_13_17	1950
02_13_19	1288
02_13_23	4136
02_13_32	0
02_13_35	773
02_13_37	2215
02_13_49	6585
02_13_87	2186
02_13_90	1611
02_14_20	1168
02_14_32	1037
02_14_43	1956
02_14_80	1859
02_14_86	2616
02_14_91	558
02_15_01	1290
02_15_03	1971
02_15_04	1349
02_15_09	2554
02_15_21	1309
02_15_52	4181
02_15_60	1319
02_15_61	1179
02_15_62	759
02_15_64	2281
02_15_72	1007
02_15_80	1360
02_15_94	0
02_15_95	1612
02_16_34	192
02_16_46	0
02_16_65	0
02_16_84	624
02_17_14	2996
02_17_22	717
02_17_37	160
02_17_61	1712
02_17_73	612
02_18_01	912
02_18_17	1665
02_18_26	4576
02_18_29	26
02_18_35	3865
02_18_37	542
02_18_61	991
02_18_89	10023
02_18_91	1742
02_19_01	2649
02_19_20	503
02_19_34	1727
02_19_39	3799
02_19_42	5609
02_19_71	368
02_20_23	47
02_20_34	27
02_20_35	885
02_20_49	475
02_20_61	7518
02_20_62	658
02_20_67	1160
02_20_69	1605
02_20_92	1265
02_21_11	377
02_21_13	1884
02_21_30	1227
02_21_51	449
02_21_64	998
02_21_79	45
02_21_86	1084
02_22_12	62
02_22_56	1511
02_22_63	439
02_22_78	3080
02_22_88	221
02_23_30	491
02_23_56	1723
02_23_65	287
02_23_74	481
02_23_78	5473
02_24_04	2405
02_24_32	819
02_24_37	1743
02_24_53	635
02_24_73	830
02_25_58	1427
02_25_63	2774
02_25_86	1281
02_25_89	986
02_26_05	205
02_26_16	147
02_26_39	1709
02_26_60	912
02_26_81	6156
02_27_09	870
02_27_10	1039
02_27_41	7575
02_27_46	1131
02_27_47	0
02_27_49	528
02_27_88	1685
02_28_11	0
02_28_40	1324
02_28_44	2232
02_28_48	0
02_28_60	1257
02_28_84	1583
02_29_01	798
02_29_12	0
02_29_17	1324
02_29_28	0
02_29_37	2423
02_29_42	1014
02_29_47	4444
02_29_73	556
02_29_77	1371
02_30_03	820
02_30_09	0
02_30_12	4023
02_30_16	98
02_30_29	301
02_30_35	1845
02_30_36	872
02_30_39	692
02_30_46	1116
02_30_61	3409
02_30_66	1140
02_30_78	0
02_30_87	1614
02_30_88	271
02_30_96	450
02_31_73	376
02_31_94	1867
02_32_31	612
02_32_38	1795
02_32_42	227
02_32_46	1426
02_32_58	90
02_32_84	0
02_32_96	1009
02_33_09	580
02_33_15	3655
02_33_23	769
02_33_31	2916
02_33_41	500
02_33_52	925
02_33_78	9881
02_33_92	3606
02_34_29	1798
02_34_39	602
02_34_75	1435
02_34_94	721
02_34_96	343
02_35_03	1787
02_35_07	525
02_35_16	297
02_35_33	491
02_35_72	1143
02_35_77	1759
02_36_01	751
02_36_12	2414
02_36_21	5056
02_36_27	0
02_36_37	2452
02_36_51	6291
02_36_54	1677
02_36_91	1063
02_37_07	487
02_37_20	0
02_37_25	676
02_37_49	0
02_37_73	3619
02_38_04	1157
02_38_25	1076
02_38_33	1391
02_38_38	1307
02_38_62	14
02_38_72	379
02_38_81	472
02_38_93	1444
02_39_17	0
02_39_31	952
02_39_75	4762
02_40_42	3650
02_40_57	2391
02_40_64	2223
02_40_69	1012
02_40_87	4199
02_40_90	18924
02_40_94	1804
02_41_09	423
02_41_15	354
02_41_46	1623
02_41_47	1749
