guide,bc_wells
guide_A,02_59_42
guide_A,02_59_53
guide_A,02_60_07
guide_A,02_60_60
guide_A,02_61_27
guide_A,02_61_32
guide_A,02_62_06
guide_A,02_62_13
guide_A,02_62_36
guide_A,02_63_71
guide_A,02_65_80
guide_A,02_65_85
guide_A,02_65_90
guide_A,02_66_15
guide_A,02_66_85
guide_A,02_67_03
guide_A,02_67_25
guide_A,02_67_35
guide_A,02_67_37
guide_A,02_67_80
guide_A,02_68_07
guide_A,02_68_55
guide_A,02_68_94
guide_A,02_69_14
guide_A,02_69_26
guide_A,02_70_21
guide_A,02_70_29
guide_A,02_71_17
guide_A,02_71_94
guide_A,02_72_18
guide_A,02_72_84
guide_A,02_73_01
guide_A,02_74_65
guide_A,02_74_67
guide_A,02_74_93
guide_A,02_75_33
guide_A,02_75_44
guide_A,02_76_47
guide_A,02_76_76
guide_A,02_76_81
guide_A,02_77_49
guide_A,02_78_19
guide_A,02_78_34
guide_A,02_78_49
guide_A,02_79_01
guide_A,02_79_03
guide_A,02_79_32
guide_A,02_79_33
guide_A,02_79_42
guide_A,02_79_53
guide_A,02_79_79
guide_A,02_81_10
guide_A,02_81_82
guide_A,02_81_90
guide_A,02_82_10
guide_A,02_82_21
guide_A,02_83_15
guide_A,02_83_26
guide_A,02_83_46
guide_A,02_83_48
guide_A,02_83_71
guide_A,02_83_89
guide_A,02_83_95
guide_A,02_84_37
guide_A,02_84_49
guide_A,02_84_87
guide_A,02_85_30
guide_A,02_85_64
guide_A,02_86_15
guide_A,02_86_47
guide_A,02_86_56
guide_A,02_86_64
guide_A,02_86_72
guide_A,02_86_81
guide_A,02_86_93
guide_A,02_87_07
guide_A,02_87_38
guide_A,02_87_66
guide_A,02_87_90
guide_A,02_88_30
guide_A,02_88_41
guide_A,02_88_53
guide_A,02_88_73
guide_A,02_89_20
guide_A,02_89_30
guide_A,02_89_35
guide_A,02_89_51
guide_A,02_89_56
guide_A,02_90_17
guide_A,02_90_40
guide_A,02_90_53
guide_A,02_90_90
guide_A,02_90_95
guide_A,02_91_22
guide_A,02_91_30
guide_A,02_91_55
guide_A,02_92_38
guide_A,02_92_91
guide_A,02_93_14
guide_A,02_93_21
guide_A,02_93_55
guide_A,02_93_61
guide_A,02_94_33
guide_A,02_94_40
guide_A,02_94_45
guide_A,02_94_81
guide_A,02_94_83
guide_A,02_94_87
guide_A,02_94_91
guide_A,02_95_41
guide_A,02_95_53
guide_A,02_95_72
guide_A,02_96_95
guide_A,03_01_27
guide_A,03_01_36
guide_A,03_01_58
guide_A,03_01_63
guide_A,03_02_07
guide_A,03_02_13
guide_A,03_02_30
guide_A,03_02_50
guide_A,03_03_02
guide_A,03_03_33
guide_A,03_03_49
guide_A,03_03_87
guide_A,03_04_29
guide_A,03_04_41
guide_A,03_04_76
guide_A,03_04_87
guide_A,03_05_12
guide_A,03_05_54
guide_A,03_06_62
guide_A,03_06_71
guide_A,03_06_95
guide_A,03_07_03
guide_A,03_07_92
guide_A,03_08_37
guide_A,03_08_94
guide_A,03_09_16
guide_A,03_09_69
guide_A,03_09_76
guide_A,03_10_27
guide_A,03_10_65
guide_A,03_10_71
guide_A,03_11_15
guide_A,03_11_57
guide_A,03_11_63
guide_A,03_11_90
guide_A,03_12_14
guide_A,03_12_50
guide_A,03_12_54
guide_A,03_12_56
guide_A,03_12_61
guide_A,03_13_06
guide_A,03_13_09
guide_A,03_13_18
guide_A,03_13_75
guide_A,03_13_83
guide_A,03_14_21
guide_A,03_15_06
guide_A,03_15_46
guide_A,03_15_49
guide_A,03_15_77
guide_A,03_15_96
guide_A,03_16_65
guide_A,03_17_24
guide_A,03_17_29
guide_A,03_17_47
guide_A,03_17_65
guide_A,03_17_83
